2020.10.06 16:12:53 INFO  started: Metals version 0.9.4 in workspace '/home/cn/Project/BUAA/service_computing_2020/assignment1/axis' .
2020.10.06 16:13:02 INFO  compiling axis-test
2020.10.06 16:13:02 INFO  time: compiled axis-test in 5ms
2020.10.06 16:13:02 INFO  Processing
2020.10.06 16:13:02 INFO  Processing
2020.10.06 16:13:02 INFO  compiling axis
2020.10.06 16:13:02 INFO  time: compiled axis in 3ms
2020.10.06 16:13:02 INFO  compiling axis-test
2020.10.06 16:13:02 INFO  time: compiled axis-test in 2ms
2020.10.06 16:13:02 INFO  Processing
2020.10.06 16:13:02 INFO  Processing
2020.10.06 16:13:03 INFO  compiling axis
2020.10.06 16:13:03 INFO  time: compiled axis in 3ms
2020.10.06 16:13:03 INFO  compiling axis-test
2020.10.06 16:13:03 INFO  time: compiled axis-test in 3ms
2020.10.06 16:13:03 INFO  Processing
Oct 06, 2020 4:13:15 PM org.eclipse.lsp4j.jsonrpc.RemoteEndpoint handleCancellation
WARNING: Unmatched cancel notification for request id 27
2020.10.06 16:13:25 INFO  Processing
2020.10.06 16:13:25 INFO  compiling axis
2020.10.06 16:13:25 INFO  compiling 1 Scala source to /home/cn/Project/BUAA/service_computing_2020/assignment1/axis/target/scala-2.12/classes ...
2020.10.06 16:13:25 WARN  there was one deprecation warning (since 2.11.0); re-run with -deprecation for details
2020.10.06 16:13:25 WARN  one warning found
2020.10.06 16:13:25 INFO  time: compiled axis in 0.58s
2020.10.06 16:13:25 INFO  Processing
2020.10.06 16:13:25 INFO  compiling axis
2020.10.06 16:13:25 INFO  time: compiled axis in 1ms
2020.10.06 16:13:25 INFO  Processing
2020.10.06 16:13:25 INFO  compiling axis
2020.10.06 16:13:25 INFO  time: compiled axis in 416μs
2020.10.06 16:13:25 INFO  Processing
2020.10.06 16:13:25 INFO  Processing
2020.10.06 16:13:25 INFO  Processing
2020.10.06 16:13:27 INFO  Processing
2020.10.06 16:13:27 INFO  compiling axis
2020.10.06 16:13:27 INFO  compiling 1 Scala source to /home/cn/Project/BUAA/service_computing_2020/assignment1/axis/target/scala-2.12/classes ...
2020.10.06 16:13:27 WARN  there was one deprecation warning (since 2.11.0); re-run with -deprecation for details
2020.10.06 16:13:27 WARN  one warning found
2020.10.06 16:13:27 INFO  time: compiled axis in 0.2s
2020.10.06 16:13:27 INFO  Processing
2020.10.06 16:13:27 INFO  compiling axis
2020.10.06 16:13:27 INFO  time: compiled axis in 2ms
2020.10.06 16:13:27 INFO  Processing
2020.10.06 16:13:27 INFO  compiling axis
2020.10.06 16:13:27 INFO  time: compiled axis in 3ms
2020.10.06 16:13:27 INFO  Processing
2020.10.06 16:13:27 INFO  Processing
2020.10.06 16:13:27 INFO  Processing
2020.10.06 16:14:51 INFO  Processing
2020.10.06 16:14:51 INFO  compiling axis
2020.10.06 16:14:51 INFO  time: compiled axis in 2ms
2020.10.06 16:14:51 INFO  Processing
2020.10.06 16:14:51 INFO  Processing
2020.10.06 16:14:51 INFO  compiling axis
2020.10.06 16:14:51 INFO  time: compiled axis in 2ms
2020.10.06 16:14:51 INFO  Processing
2020.10.06 16:14:51 INFO  Processing
2020.10.06 16:14:51 INFO  Processing
2020.10.06 16:14:53 INFO  Processing
2020.10.06 16:14:53 INFO  compiling axis
2020.10.06 16:14:53 INFO  time: compiled axis in 3ms
2020.10.06 16:14:53 INFO  Processing
2020.10.06 16:14:53 INFO  Processing
2020.10.06 16:14:53 INFO  compiling axis
2020.10.06 16:14:53 INFO  time: compiled axis in 2ms
2020.10.06 16:14:53 INFO  Processing
2020.10.06 16:14:53 INFO  Processing
2020.10.06 16:14:53 INFO  Processing
2020.10.06 16:14:55 INFO  Processing
2020.10.06 16:14:55 INFO  compiling axis
2020.10.06 16:14:55 INFO  time: compiled axis in 3ms
2020.10.06 16:14:55 INFO  Processing
2020.10.06 16:14:55 INFO  Processing
2020.10.06 16:14:55 INFO  compiling axis
2020.10.06 16:14:55 INFO  time: compiled axis in 3ms
2020.10.06 16:14:55 INFO  Processing
2020.10.06 16:14:55 INFO  Processing
2020.10.06 16:14:55 INFO  Processing
2020.10.06 16:14:58 INFO  Processing
2020.10.06 16:14:58 INFO  compiling axis
2020.10.06 16:14:58 INFO  time: compiled axis in 2ms
2020.10.06 16:14:58 INFO  Processing
2020.10.06 16:14:58 INFO  Processing
2020.10.06 16:14:58 INFO  Processing
2020.10.06 16:14:58 INFO  Processing
2020.10.06 16:14:58 INFO  compiling axis
